Commune,CCAS identifié,Adresse CCAS,Mail CCAS,Telephone CCAS,UTS ,Adresse UTS,Téléphone UTS,CLIC,SAAD,,
Flassans,Centre Communal d'Action Sociale Flassans (CCAS),Hôtel de Ville Avenue Général de Gaulle  83340 Flassans sur Issoles,"ccas@flassans.fr(POUPENEY Edith, RéférenteCCAS)",04 94 37 00 50  ,UTS Cœur du Var - LE LUC ,Quartier Précoumin route de Toulon  83340 Le Luc,04 83 95 19 00,pas de CLIC,pas de SAAD,,
Forcalqueiret,Centre Communal d'Action Sociale Folcalqueiret (CCAS),27 Avenue Frédéric Mistral 83136 Forcalqueiret,ccas@forcalqueiret.fr(adjointe),04 98 05 13 99,UTS Provence Verte - BRIGNOLES,Rond point Mireille rue du docteur Barbaroux 83170 Brignoles,04 83 95 42 30,CLIC Provence Verte,pas de SAAD,,
Fox Amphoux,Centre Communal d'Action Sociale Fox Amphoux (CCAS),132 place de la Mairie 83670 Fox-Amphoux,mairie.fox@orange.fr,04 94 80 71 58,UTS Haut Var Verdon - SALERNES,Avenue Gabriel Péri  83690 Salernes,04 83 95 59 60,pas de CLIC,pas de SAAD,,
Gareoult,Centre Communal d'Action Sociale Gareoult (CCAS),16 Place de l'Eglise 83136 Gareoult,ccas@gareoult.fr,04 94 72 87 12,UTS Provence Verte -  BRIGNOLES,Rond point Mireille rue du docteur Barbaroux 83170 Brignoles,04 83 95 42 30,CLIC Provence Verte,pas de SAAD,,
Ginasservis,Centre Communal d'Action Sociale Ginasservis (CCAS),Place du Docteur-Richaud 83560 Ginasservis,ccas@ginasservis.com,04 98 05 21 41,UTS Haut Var Verdon - RIANS,Rue Jules Ferry  83560 Rians,04 83 95 19 70,pas de CLIC,pas de SAAD,,
La Celle,Centre Communal d'Action Sociale La Celle (CCAS),2 place du Général Gaulle 83170 La Celle,fa2lafosse@orange.fr,04 94 69 09 04,UTS Provence Verte - BRIGNOLES,Rond point Mireille rue du docteur Barbaroux 83170 Brignoles,04 83 95 42 30,CLIC Provence Verte,pas de SAAD,,
La Roquebrussanne,Centre Communal d'Action Sociale La  Roquebrussanne (CCAS),30 bis Avenue Saint Sébastien 83136 La Roquebrussanne,ccas@laroquebrussanne.fr,07 89 85 21 53,UTS Provence Verte - BRIGNOLES,Rond point Mireille rue du docteur Barbaroux 83170 Brignoles,04 83 95 42 30,CLIC Provence Verte,pas de SAAD,,
La Verdière,Centre Communal d'Action Sociale La Verdière (CCAS), 6 Place de la Mairie  83560 LA VERDIERE,"gisele.vauquoy@neuf.fr (VAUQUOY Gisèle, Vice-Présidente du CCAS)
","0601 91 11 55
",UTS Haut Var Verdon - RIANS,Rue Jules Ferry  83560 Rians,04 83 95 19 70,pas de CLIC,pas de SAAD,,
Le Val,Centre Communal d'Action Sociale Le Val (CCAS),2 traverse de la Mairie  83143 Le Val,"ccas@mairie-leval.fr
","04 83 6702 41
",UTS Provence Verte - BRIGNOLES,Rond point Mireille rue du docteur Barbaroux 83170 Brignoles,04 83 95 42 30,CLIC Provence Verte,pas de SAAD,,
Mazaugues,Centre Communal d'Action Sociale Mazaugues (CCAS),46 Boulevard Lambert 83136 Mazaugues,accueil@mairie-mazaugues.org,04 94 33 97 51,UTS Provence Verte - BRIGNOLES,Rond point Mireille rue du docteur Barbaroux 83170 Brignoles,04 83 95 42 30,CLIC Provence Verte,pas de SAAD,,
Méounes Montrieux,Centre Communal d'Action Sociale Méounes (CCAS),12 Route de Brignoles 83136 Méounes-les-Montrieux,mairie@meounes.com,04 94 13 83 20 ,UTS Provence Verte - BRIGNOLES,Rond point Mireille rue du docteur Barbaroux 83170 Brignoles,04 83 95 42 30,CLIC Provence Verte,pas de SAAD,,
Montfort sur Argens ,Centre Communal d'Action Sociale Montfort sur Argens  (CCAS),7 rue de la Rouguière 83570 Montfort-sur-Argens,ccas@montfortsurargens.fr,04 94 37 22 90,UTS Provence Verte -  BARJOLS,Ancien collège Avenue de Garessio 83670 Barjols,04 83 95 41 60,pas de CLIC,pas de SAAD,,
Montmeyan,Centre Communal d'Action Sociale Montmeyan (CCAS),17 Avenue du Verdon 83670 Montmeyan France,mairie.montmeyan@orange.fr,04 94 69 60 80 ,UTS Haut Var Verdon - SALERNES, Avenue Gabriel Péri  83690 Salernes,04 83 95 59 60,pas de CLIC,pas de SAAD,,
Nans les Pins,Centre Communal d'Action Sociale Nans les Pins (CCAS),Avenue Julien Jourdan  83860 Nans-les-pins,formulaire de contact sur le site de la mairie,04 94 37 21 41,UTS Provence Verte - SAINT MAXIMIN,45 chemin des fontaines 83470 Saint Maximin,04 83 95 59 10,CLIC Provence Verte,SAAD sainte baume services ADMR : 12 r jean aicard 83860 nns les pins ,,
Néoules,Centre Communal d'Action Sociale Néoules (CCAS),Hôtel de ville 1 avenue de Provence 83136 Néoules,actionsociale@neoules.fr,04 94 72 64 68 ou 06 32 78 41 24 ,UTS Provence Verte - BRIGNOLES,Rond point Mireille rue du docteur Barbaroux 83170 Brignoles,04 83 95 42 30,CLIC Provence Verte,pas de SAAD,,
Ollières,la commune n'a pas de CCAS ,,,,UTS Provence Verte - SAINT MAXIMIN,45 chemin des fontaines 83470 Saint Maximin,04 83 95 59 10,CLIC Provence Verte,pas de SAAD,,
Pignans,Centre Communal d'Action Sociale Pignans (CCAS), 25 place Mazel 83092 Pignans (locaux de France services),accueil@pignans.fr,04 94 23 23 24 ,UTS Cœur du Var - LE LUC ,Quartier Précoumin route de Toulon  83340 Le Luc,04 83 95 19 00,pas de CLIC,SAAD cap services lucie : 98 AV rossima 83790 Pignans,,
Plan-d'Aups- Sainte-Baume,Centre Communal d'Action Sociale Plan-d'Aups- Sainte-Baume (CCAS),1 Place de L’Hotel de Ville 83640 Plan-d'Aups-Sainte-Baume,ccas.plandaups@gmail.com,04 4204 52 84 ,UTS Provence Verte - SAINT MAXIMIN,45 chemin des fontaines 83470 Saint Maximin,04 83 95 59 10,CLIC Provence Verte,pas de SAAD,,
Pontevès,Centre Communal d'Action Sociale Pontevès (CCAS),31 l'Esplanade 83 670 Pontevès,formulaire d econtact sur le site de la mairie, 04 94 77 11 41,UTS Provence Verte -  BARJOLS,Ancien collège Avenue de Garessio 83670 Barjols,04 83 95 41 60,pas de CLIC,pas de SAAD,,
Pourcieux,Centre Communal d'Action Sociale Pourcieux (CCAS),"Pas de permanence en mairie, il faut les contacter par téléphone ou email",mailmairie@pourcieux.fr,04 09 78 02 05 ,UTS Provence Verte - SAINT MAXIMIN,45 chemin des fontaines 83470 Saint Maximin,04 83 95 59 10,CLIC Provence Verte,pas de SAAD,,
Pourrières,Centre Communal d'Action Sociale Pourrieres (CCAS),Place Jules Michel  83910 Pourrières,ouccas@pourrieres.fr,04 98 05 26 32 ou 06 65 08 44 62,UTS Provence Verte - SAINT MAXIMIN,45 chemin des fontaines 83470 Saint Maximin,04 83 95 59 10,CLIC Provence Verte,pas de SAAD,,
Rians,Centre Communal d'Action Sociale Rians (CCAS),Maison de la Solidarité 6 Rue Jules Ferry 83560 Rians,"ccas@mairie-rians.fr

","04 94 72 64 80

",UTS Haut Var Verdon - RIANS,Rue Jules Ferry  83560 Rians,04 83 95 19 70,pas de CLIC,2 SAAD dans cette commune,,
Rocbaron,Centre Communal d'Action Sociale Rocbaron (CCAS),Place du Souvenir Français 83136 Rocbaron,social@mairie-rocbaron.fr,04 94 72 84 72,UTS Provence Verte - BRIGNOLES,Rond point Mireille rue du docteur Barbaroux 83170 Brignoles,04 83 95 42 30,CLIC Provence Verte,2 SAAD dans cette commune,,
Rougiers,Centre Communal d'Action Sociale Rougiers (CCAS),Mairie Rougiers 15 Avenue de Brignoles 83170 Rougiers,formulaire de contact sur le site de la mairie,04 98 05 93 30 ,UTS Provence Verte - SAINT MAXIMIN,45 chemin des fontaines 83470 Saint Maximin,04 83 95 59 10,CLIC Provence Verte,pas de SAAD,,
Saint Anastasie,Centre Communal d'Action Sociale Saint-Anastasie sur Issole (CCAS),33 Rue Notre Dame 83136 Sainte-Anastasie-Sur-Issole,ccas@sainte-anastasie-sur-issole.fr,04 94 69 64 40 ,UTS Provence Verte - BRIGNOLES,Rond point Mireille rue du docteur Barbaroux 83170 Brignoles,04 83 95 42 30,CLIC Provence Verte,pas de SAAD,,
Saint-Julien-le-Montanier,Centre Communal d'Action Sociale Saint-Julien-le-Montanier (CCAS),Mairie de Saint-Julien 22 rue de l'Hôtel de Ville 83560 Saint-Julien,ccas@sjlm.fr,04 94 80 67 49,UTS Haut Var Verdon - RIANS,Rue Jules Ferry  83560 Rians,04 83 95 19 70,pas de CLIC,SAAD avec mon service a dom st julien : 47 r de l'hotel de ville 83560 st julien / 0494800643,,
Saint Martin de Palières,Centre Communal d'Action Sociale Saint-Martin-de-Palières (CCAS),en attente de réponse de la mairie car aucune infos sur le site  ,,,UTS Provence Verte -  BARJOLS,Ancien collège Avenue de Garessio 83670 Barjols,04 83 95 41 60,pas de CLIC,pas de SAAD,,
Saint Maximin,Centre Communal d'Action Sociale Saint-Maximin (CCAS),Hôtel de ville Salle Nord 319 boulevard Rey  83470 Saint Maximin la Sainte Baume ·,ouccas@st-maximin.fr,04 94 72 9305 ou 04 94 72 93 01  ,UTS Provence Verte - SAINT MAXIMIN,45 chemin des fontaines 83470 Saint Maximin,04 83 95 59 10,CLIC Provence Verte,4 SAAD dans cette commune,,
Saint Zacharie,Centre Communal d'Action Sociale Saint-Zacharie (CCAS),12 boulevard des Fours 83640 Saint-Zacharie,accueil@st-zacharie.fr,04 42 32 63 34  ,UTS Provence Verte - SAINT MAXIMIN,45 chemin des fontaines 83470 Saint Maximin,04 83 95 59 10,pas de CLIC,2 SAAD dans cette commune,,
Seillons-Source-d'Argens,Centre Communal d'Action Sociale Seillons-Source-d'Argens (CCAS),Place Gabriel-Péri 83470 Seillons-Source-d'Argens ,s.kania@mairie-de-seillons.fr,04 98 05 20 48,UTS Provence Verte -  BARJOLS,Ancien collège Avenue de Garessio 83670 Barjols,04 83 95 41 60,pas de CLIC,pas de SAAD,,
Sillans-la-Cascade,Centre Communal d'Action Sociale Sillans-la-Cascade (CCAS),en attente de réponse de la mairie car aucune infos sur le site  ,,,UTS Haut Var Verdon - SALERNES, Avenue Gabriel Péri  83690 Salernes,04 83 95 59 60,pas de CLIC,pas de SAAD,,
Tavernes,Commission Communale d'Action Sociale Tavernes (CCAS),15 Place de la Mairie 83670 Tavernes,mairiedetavernes@orange.fr,04 98 05 36 36,UTS Provence Verte -  BARJOLS,Ancien collège Avenue de Garessio 83670 Barjols,04 83 95 41 60,pas de CLIC,SAAD Asistance family : 16 ch du barou 83670 tavernes,,
Tourves,Centre Communal d'Action Sociale Tourves (CCAS),Place de l'Hôtel de Ville RDC de la mairie 83170 Tourves,ccas@tourves.fr,04 94 78 80 49 ,UTS Provence Verte - BRIGNOLES,Rond point Mireille rue du docteur Barbaroux 83170 Brignoles,04 83 95 42 30,CLIC Provence Verte,SAAD Asso atout services: pl de la liberté 83170 tourves / 0494788380,,
Varages,Centre Communal d'Action Sociale Varages (CCAS),Place de la IV ème République 83670 Varages,ccas@varages.fr,04 94 72 85 15 ,UTS Provence Verte -  BARJOLS,Ancien collège Avenue de Garessio 83670 Barjols,04 83 95 41 60,pas de CLIC,SAAD AIDADOMI : 8 r general gassendi 83670 Varges,,
Vins sur Caramy,la commune n'a pas de CCAS ,,,,UTS Provence Verte - BRIGNOLES,Rond point Mireille rue du docteur Barbaroux 83170 Brignoles,04 83 95 42 30,CLIC Provence Verte,pas de SAAD,,
Vinon Sur Verdon,Centre Communal d'Action Sociale Vinon sur Verdon (CCAS),66 Avenue de la Libération 83560 Vinon-sur-Verdon,ccas-vinon@orange.fr,04 92 78 96 09  ,UTS Haut Var Verdon - RIANS,Rue Jules Ferry  83560 Rians,04 83 95 19 70,pas de CLIC,pas de SAAD,,
BASSIN HYEROIS,,,,,,,,,,,
Besse sur Issole ,Centre Communal d'Action Sociale Besse-sur-Issole (CCAS),15 Boulevard Paul Bert 83890 Besse sur Issole,mairie.besse@wanadoo.fr,04 94 69 70 04 ,UTS Cœur du Var - LE LUC ,Quartier Précoumin route de Toulon  83340 Le Luc, 04 83 95 19 00,pas de CLIC,pas de SAAD,,
Bormes les Mimosas,Centre Communal d'Action Sociale Bormes-les-Mimosas (CCAS),197 boulevard du Mont des Roses 83230 Bormes-les-Mimosas,formulaire de contact sur le site de la mairie,04 9405 34 50 ,UTS Val Gapeau Iles d'Or - BORMES,26 Rue Jean Aicard 83230 Bormes les Mimosas,04 83 95 41 90,CLIC HADAGE,pas de SAAD,,
Carqueiranne,Centre Communal d'Action Sociale Carqueiranne (CCAS),5 rue Pierre Victor Peyron 83320 Carqueiranne,ccas@carqueiranne.fr, 04 94 12 34 30 ou 04 94 12 34 31 ,UTS Val Gapeau Iles d'Or - LA CRAU,Espace Simone Veil Place Castellin 83260 La Crau,04 83 95 56 20,CLIC HADAGE,2 SAAD dans cette commune,,
Carnoules,Centre Communal d'Action Sociale Carnoules (CCAS),27 cours Victor-Hugo 83660 Carnoules,ccas@carnoules.fr,04 94 13 80 07  ,UTS Cœur du Var - LE LUC ,Quartier Précoumin route de Toulon  83340 Le Luc,04 83 95 19 00,pas de CLIC,pas de SAAD,,
Collobrières,Centre Communal d'Action Sociale Collobrières (CCAS),Place de la Libération 83610 Collobriere,ccas@collobrieres.fr, 04 94 13 83 83 ,UTS Val Gapeau Iles d'Or - CUERS,14  Boulevard Gambetta 83390 Cuers,04 83 95 53 90,CLIC HADAGE,SAAD ADMR COLLOBRIERES : pl de la liberation 83610 collobrieres / 0494214409,,
Cuers,Centre Communal d'Action Sociale Cuers (CCAS),Place Pasteur 83390 Cuers,cohesion.sociale@cuers.fr,04 94 13 50 70,UTS Val Gapeau Iles d'Or - CUERS,14  Boulevard Gambetta 83390 Cuers,04 83 95 53 90,pas de CLIC,SAAD AD VITA : 85 che de la guinguette / 0660801602,,
Gonfaron,Centre Communal d'Action Sociale Gonfaron (CCAS),Avenue du 8 mai 194583590 Gonfaron,formulaire de contact sur le site de la mairie,04 94 78 30 05,UTS Cœur du Var - LE LUC ,Quartier Précoumin route de Toulon  83340 Le Luc,04 83 95 19 00,pas de CLIC,pas de SAAD,,
Hyères,Centre Communal d'Action Sociale Hyères (CCAS),Centre Olbia 4 rue du Soldat Bellon 1er étage 83400 Hyères,contact@ccas-hyeres.fr,04 94 00 78 85   ,UTS Val Gapeau Iles d'Or - HYERES,"Espace Le Victoria 68  Chemin de la Vilette 83400 Hyeres
CMS Millet 2 Rue Ernest Millet 83400 Hyeres", 04 83 95 55 80,CLIC HADAGE,8 SAAD dans la commune,,
Iles d'Or,,,,,,,,,,,
La Crau,Centre Communal d'Action Sociale La Crau (CCAS),Mairie Annexe 15 boulevard de la République 83260 La crau,mairie@villedelacrau.fr,04 9401 56 72  ,UTS Val Gapeau Iles d'Or - LA CRAU,Espace Simone Veil Place Castellin 83260 La Crau,04 83 95 56 20,CLIC HADAGE et CLIC la Vallée du Gapeau,2 SAAD dans cette commune,,
La Farlède,Centre Communal d'Action Sociale La Farlède (CCAS),Rez-de-chaussée de l'Hôtel de ville (entrée droite) Place de la Liberté  BP 25 83210 La Farlède,ccas@lafarlede.fr,04 94 27 85 84  ,UTS Val Gapeau Iles d'Or - LA FARLEDE,210 Centralité Chemin du Partégal 83210 La Farlede,04 83 95 20 00,CLIC la Vallée du Gapeau,4 SAAD dans cette commune,,
La Garde,Centre Communal d'Action Sociale La Garde (CCAS),81 Rue Marius Tardivier 83130 La garde,service-ccas@ville-lagarde.fr,04 9408 98 34  ,UTS Val Gapeau Iles d'Or - LA GARDE,53 Impasse Blériot Immeuble Le Frédéric 83130 La Garde,04 83 95 56 50,CLIC du Coudon,2 SAAD dans cette commune,,
La Londe,Centre Communal d'Action Sociale La Londes-les-Maures (CCAS),"Centre Communal d'Action Sociale 144 boulevard Azan ""Le Chêne et l'Olivier"" 83250 La Londe les Maures",ccas@lalondelesmaures.fr,04 9401 55 39 ,UTS Val Gapeau Iles d'Or - BORMES,26 Rue Jean Aicard 83230 Bormes les Mimosas,04 83 95 41 90,CLIC HADAGE,2 SAAD dans cette commune,,
La Valette,Centre Communal d'Action Sociale La Valette du Var (CCAS),place Général de Gaulle 83160 la Valette du Var,aide-sociale@lavalette83.fr,04 94 20 92 70 ,UTS Val Gapeau Iles d'Or - LA VALETTE,427 Avenue Duchatel 83130 La Valette du Var,04 83 95 56 90,CLIC du Coudon,6   SAAD dans cette commune,,
Le Lavandou,Centre Communal d'Action Sociale Lavandou (CCAS),Villa Rossi  Rue de la Rigourette 83980 Le Lavandou,ccas@le-lavandou.fr,04 94 14 41 45  ,UTS Val Gapeau Iles d'Or - BORMES,26 Rue Jean Aicard 83230 Bormes les Mimosas,04 83 95 41 90,CLIC HADAGE,TJS SAP : 14 Av président vincent auriol 83980 Le lavandou,,
Le Pradet,Centre Communal d'Action Sociale Pradet (CCAS),Rue du Pensionnat Square Keller 83220 Le Pradet,courrier@le-pradet.fr,04 94 08 08 58,UTS Val Gapeau Iles d'Or - LA GARDE,53 Impasse Blériot Immeuble Le Frédéric 83130 La Garde,04 83 95 56 50,CLIC du Coudon,SAAD express services : 19 R marechal juin 83220 Le pradet,,
Le Revest,Centre Communal d'Action Sociale Le Revest (CCAS),Place Jean Jaurès 83200 Le Revest-les-Eaux,formulaire de contact sur le site de la mairie,04 94 98 19 90 ,UTS Val Gapeau Iles d'Or - LA VALETTE,427 Avenue Duchatel 83130 La Valette du Var,04 83 95 56 90,CLIC du Coudon,pas de SAAD,,
Pierrefeu,Centre Communal d'Action Sociale Pierrefeu (CCAS),Hôtel de Ville Place Urbain Sénès 83390 Pierrefeu-du-Varst-les-Eaux (dernier étage),ccas@pierrefeu-du-var.fr,04 94 13 53 28 ou 04 94 13 83 63  ,UTS Val Gapeau Iles d'Or - CUERS,14  Boulevard Gambetta 83390 Cuers,04 83 95 53 90,CLIC HADAGE,pas de SAAD,,
Puget sur Argens,Centre Communal d'Action Sociale Puget ville (CCAS),368  rue de la Libération 83390 Puget-ville,ccas@puget-ville.fr,04 94 13 8203,UTS Cœur du Var - LE LUC ,Quartier Précoumin route de Toulon  83340 Le Luc, 04 83 95 19 00,pas de CLIC,SAAD Vitalliance puget : che des vernèdes 83480 Puget sur argence,,
Solliès-Pont,Centre Communal d'Action Sociale Sollies Pont (CCAS),Centre Communal d’Action Sociale 1bis rue de la République,ccas@solliespont.fr,04 94 13 88 90 ,UTS Val Gapeau Iles d'Or - LA FARLEDE, 210 Centralité Chemin du Partégal 83210 La Farlede,04 83 95 20 00,CLIC la Vallée du Gapeau,SAAD GAGGE AZUR AGE D'OR SERVICE : 1 av de l'arlesienne 83210 Sollies-Pont / 0494213512,,
Solliès-Toucas,Centre Communal d'Action Sociale Sollies-Toucas (CCAS),Hôtel de Ville Place Clément Balestra 83210 Solliès-Toucas,f.filosa.ccas@mairie-sollies-toucas.fr (directrice) ou a.leroux@mairie-sollies-toucas.frd.euse@mairie-sollies-toucas.fr (agents d'accueil social),04 94 28 90 47  ,UTS Val Gapeau Iles d'Or - LA FARLEDE, 211 Centralité Chemin du Partégal 83210 La Farlede,04 83 95 20 00,CLIC la Vallée du Gapeau,pas de SAAD,,
Solliès-Ville,Centre Communal d'Action Sociale Sollies-Ville (CCAS),Hôtel de Ville 9 rue du 6ème R.T.S Solliès-Ville,ecole.ccas@solliesville.fr,04 94 13 80 30  ,UTS Val Gapeau Iles d'Or - LA FARLEDE, 212 Centralité Chemin du Partégal 83210 La Farlede,04 83 95 20 00,CLIC la Vallée du Gapeau,pas de SAAD,,
LITTORAL OUEST VAR,,,,,,,,,,,
Bandol,Centre Communal d'Action Sociale Bandol (CCAS),Résidence Autonomie Les Acacias 13 rue Didier Daurat  83150 Bandol,ccas@bandol.fr,04 94 29 45 98,UTS Littoral Sud Sainte Baume - BANDOL / SAINT CYR,Le Pergolèse Bât 2 1155 avenue Del Reganeaou 83150 Bandol,04 83 95 52 70,pas de CLIC,2    SaAD dans cette commune,,
Belgentier,Centre Communal d'Action Sociale Belgentier (CCAS),Mairie de Belgentier Avenue du 8 mai 1945 83210 Belgentier,nsereno@var.fr (assistante sociale Mme SERENO),04 83 95 2000   ,UTS Val Gapeau Iles d'Or - LA FARLEDE,210 Centralité Chemin du Partégal 83210 La Farlede,04 83 95 20 00,CLIC la Vallée du Gapeau,pas de SAAD,,
Evenos,Centre Communal d'Action Sociale Evenos (CCAS),"Hôtel de ville 2 Route de Toulon, Sainte-Anne d’Evenos 83330 Evenos",mailmairie@evenos.fr,04 94 98 50 86,UTS Littoral Sud Sainte Baume - LE BEAUSSET,Le Saint Anne 21 A avenue Saint Louis  83330 Le Beausset,04 83 95 57 30,pas de CLIC,pas de SAAD,,
La Cadière d'Azur,Centre Communal d'Action Sociale La Cadiere d'Azur (CCAS),Mairie de la Cadière d’Azur 11 rue Gabriel Peri 83740 La Cadière d’Azur,ccas@lacadieredazur.com,04 94 98 25 20  ,UTS Littoral Sud Sainte Baume - LE BEAUSSET,Le Saint Anne 21 A avenue Saint Louis  83330 Le Beausset,04 83 95 57 30,pas de CLIC,Pas de SAAD,,
La Seyne,Centre Communal d'Action Sociale La Seyne (CCAS),Espace Hermès 2 avenue Charles-Gide 83500 La Seyne-sur-Mer,ccas@la-seyne.fr,04 9406 97 18  ,UTS La Seyne / Saint - Mandrier - CENTRE HERMES,rue Charles Gide 83500 La Seyne sur mer,04 83 95 48 30 ou 04 83 95 37 90,CLIC du Cap Sicié,13    SAAD dans cette commune,,
Le Beausset,Centre Communal d'Action Sociale La Beausset (CCAS),Pôle Saint-Exupéry 80 chemin de Rouve 83330 Le Beausset,ccas@ville-lebeausset.fr,04 9402 39 25  ,UTS Littoral Sud Sainte Baume - LE BEAUSSET,Le Saint Anne 21 A avenue Saint Louis 83330 Le Beausset,04 83 95 57 30,pas de CLIC,2    SAAD dans cette commune,,
Le Castellet,Centre Communal d'Action Sociale Castellet (CCAS),Mairie Annexe du Plan du Castellet 26 Rue des Micocouliers 83330 Le Castellet,ccas@ville-lecaslet.fr,04 94 98 57 90,UTS Littoral Sud Sainte Baume - LE BEAUSSET,Le Saint Anne 21 A avenue Saint Louis  83330 Le Beausset,04 83 95 57 30,pas de CLIC,Pas de SAAD,,
Ollioules,Centre Communal d'Action Sociale Ollioules (CCAS),Mairie Administrative Espace Pierre Puget - 2 place Marius Trotobas 83190 Ollioules,ccas@ollioules.fr,04 94 30 41 25  ,UTS Littoral Sud Sainte Baume - OLLIOULES,Espace Pierre Puget 2 Place Marius Trotobas  83190 Ollioules,04 83 95 58 50,pas de CLIC,3    SAAD dans cette commune,,
Riboux,,,,,UTS Littoral Sud Sainte Baume - LE BEAUSSET,Le Saint Anne 21 A avenue Saint Louis  83330 Le Beausset,04 83 95 57 30,pas de CLIC,Pas de SAAD,,
Sanary sur Mer,Centre Communal d'Action Sociale Sanary sur Mer (CCAS),Ilot des Picotières 281 avenue Maréchal Leclerc 83110 Sanary-sur-Mer,,04 94 88 50 70 ,UTS Littoral Sud Sainte Baume - SANARY,CCAS Picotières 281 avenue Maréchal Leclerc 83110 Sanary sur mer,04 83 95 83 10,pas de CLIC,3     SAAD dans la commune,,
